一〇一六,1016年【歴】藤原道長が摂政に
一〇九六,1096年【歴】十字軍の遠征 
一〇八六,1086年～【歴】白河上皇の院政
一一,いちいち／いんいちが＝1
一一九,いちいちきゅう
一一九二,1192年【歴】鎌倉幕府の成立
一一五,いちいちご
一一五九,1159年【歴】平治の乱
一一五六,1156年【歴】保元の乱
一一八五,1185年【歴】壇ノ浦の戦い（平氏滅亡）／守護・地頭の設置 
一一六七,1167年【歴】平清盛が太政大臣に
一七,いちしち／いんしちが＝7
一七〇九,1709年【歴】新井白石の政治 
一七一六,1716年【歴】享保の改革（徳川吉宗） 
一七七二,1772年【歴】田沼意次の政治
一七七六,1776年【歴】アメリカ独立宣言
一七三,1.73＝√3
一七三二,1.732＝√3
一七八七,1787年【歴】寛政の改革（松平定信）
一七八九,1789年【歴】フランス革命 
一七日,いちしちにち／いっしちにち／ひとなぬか
一三,いちさん／いんさんが＝3
一三三三,1333年【歴】鎌倉幕府滅亡
一三三八,1338年【歴】室町幕府の成立
一三三四,1334年【歴】建武の新政（後醍醐天皇）
一三九二,1392年【歴】南北朝統一（足利義満） 
一三五,いちさんご【碁】
一三六八,1368年【歴】明の中国統一
一上,いち（の）かみ
一上一下,いちじょういちげ＝上がったり下がったり
一下,いっか
一中,いっちゅう【略】第一中学
一九,いちきゅう／いんくが＝9
一九〇二,1902年【歴】日英同盟
一九〇五,1905年【歴】ポーツマス条約
一九〇四,1905年【歴】日露戦争
一九一〇,1910年【歴】韓国併合
一九一一,1911年【歴】辛亥革命（中国）／関税自主権回復
一九一七,1917年【歴】ロシア革命
一九一九,1919年【歴】三・一独立運動（朝鮮）／五・四運動（中国）／ベルサイユ条約（欧州）
一九一二,1912年【歴】第一次護憲運動
一九一五,1915年【歴】21カ条の要求
一九一八,1918年【歴】シベリア出兵／米騒動
一九一四,1914年【歴】第一次世界大戦
一九七三,1973年【歴】石油危機（オイルショック）
一九七二,1972年【歴】沖縄の復帰 
一九七八,1978年【歴】日中平和友好条約
一九三一,1931年【歴】満州事変
一九三七,1937年【歴】日中戦争
一九三九,1939年【歴】第二次世界大戦
一九三二,1932年【歴】五・一五事件
一九三八,1938年【歴】国家総動員法
一九三六,1936年【歴】二・二六事件
一九九〇,1990年【歴】東西ドイツ統一
一九九一,1991年【歴】湾岸戦争／ソ連解体
一九九二,1992年【歴】PKO協力法成立
一九九五,1995年【歴】阪神淡路大震災
一九二〇,1920年【歴】国際連盟発足
一九二一,1921年【歴】ワシントン会議
一九二三,1923年【歴】関東大震災
一九二九,1929年【歴】世界恐慌
一九二五,1925年【歴】普通選挙法／治安維持法
一九五〇,1950年【歴】朝鮮戦争
一九五一,1951年【歴】サンフランシスコ平和条約／日米安全保障平和条約
一九五五,1955年【歴】アジア・アフリカ会議
一九五六,1956年【歴】日ソ共同宣言（国連加盟）
一九六〇,1960年【歴】独立ラッシュ（アフリカの春）
一九六四,1964年【歴】東京オリンピック
一九四〇,1940年【歴】日独伊三国同盟
一九四一,1941年【歴】日ソ中立条約／真珠湾攻撃（太平洋戦争）
一九四九,1949年【歴】中華人民共和国の建国
一九四五,1945年【歴】終戦（ポツダム宣言受諾）／国際連合発足
一九四六,1946年【歴】日本国憲法交付
一二,いちに／つまびら【人】／いんにが＝2
一二〇六,1206年【歴】モンゴル統一（チンギス・ハン）
一二七四,1274年【歴】文永の役（元寇）
一二三,ひふみ【人】
一二三二,1232年【歴】御成敗式目の制定
一二二一,1221年【歴】承久の乱（後鳥羽上皇）
一二八一,1281年【歴】弘安の役（元寇）
